Gene	L3	L4	nhr-67	N2	max_wtLC/N2	RNAi_screen	Protein size(s)	Protein feature	TF	Disease ortholog	Strict human ortholog	NCBI KOG	Bork KOG	PFAM domain	WBPhenotype	NOT WBPheno
WBGene00015088|B0252.3	0	0.14	0.16	2.68	0.05		297-484 aa	Tmhmm				KOG0255 (Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily))	COG0477: Permeases of the major facilitator superfamily; KOG0255: Synaptic vesicle transporter SVOP and related transporters (major facilitator superfamily); meNOG04784: Organic cation protein	PF00083: Sugar (and other) transporter; PF07690: Major Facilitator Superfamily		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00001149|K02A4.1|bcat-1	0.85	0.28	0.16	16.29	0.05		415 aa	Seg			StrictHumOrth	"KOG0975 (Branched chain aminotransferase BCAT1, pyridoxal phosphate enzymes type IV superfamily)"	"COG0115: Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase; KOG0975: Branched chain aminotransferase BCAT1, pyridoxal phosphate enzymes type IV superfamily; meNOG04932: Branched chain amino protein"	PF01063: Aminotransferase class IV	WBPhenotype: Emb; Lvl	NOT WBPheno: Bmd; Gro; Lva; Ste; Stp; Variant; postembryonic development variant
WBGene00012326|W07E11.1	0	0.42	7.46	8.06	0.05		2175 aa	Seg; Ncoils					"COG0067: Glutamate synthase domain 1; COG0069: Glutamate synthase domain 2; COG0070: Glutamate synthase domain 3; COG0493: NADPH-dependent glutamate synthase beta chain and related oxidoreductases; KOG0399: Glutamate synthase; meNOG05380: Glutamate synthase, NADH or NADPH as acceptor"	PF00310: Glutamine amidotransferases class-II; PF01493: GXGXG motif; PF01645: Conserved region in glutamate synthase; PF04898: Glutamate synthase central domain; PF07992: Pyridine nucleotide-disulphide oxidoreductase	WBPhenotype: protein aggregation variant; transgene subcellular localization variant	NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00017352|F10E7.11	0	0.42	0	8.06	0.05		239 aa	Seg	Thomas+W_TF				"KOG4329: DNA-binding protein; meNOG07962: Mesoderm induction early response 1 homolog Mesoderm induction early response 1 homolog , isoform protein"	PF01448: ELM2 domain		
WBGene00013716|Y106G6H.1	0	0.14	13.55	2.69	0.05		453 aa	SignalP; Seg							WBPhenotype: Let; Ste	NOT WBPheno: Bmd; Egl D; Emb; Gro; Lva; Lvl; Stp; Variant; anoxia hypersensitive; postembryonic development variant
WBGene00020296|T07A9.8	0.6	0.17	8.97	11.57	0.05		343 aa	Seg			StrictHumOrth	KOG3045 (Predicted RNA methylase involved in rRNA processing)	COG0500: SAM-dependent methyltransferases; KOG3045: Predicted RNA methylase involved in rRNA processing; meNOG11991: Cerebral protein 1	PF08241: Methyltransferase domain	WBPhenotype: Age; Gro; Pch; organism development variant; reduced brood size; transgene induced cosuppression variant	NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00015768|C14C11.4	0.24	0	0	4.64	0.05		491 aa	SignalP; Tmhmm; Seg				LSE3905 (Unnamed protein)		PF02408: CUB-like domain	WBPhenotype: Ste	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Stp; Variant; postembryonic development variant
WBGene00019120|F59E12.4|npl-4.1	3.15	3.91	0	75.63	0.05		527-529 aa	Seg				"KOG2834 (Nuclear pore complex, rNpl4 component (sc Npl4))"	"COG5100: Nuclear pore protein; KOG2834: Nuclear pore complex, rNpl4 component (sc Npl4); meNOG06293: Nuclear protein localization"	"PF00641: Zn-finger in Ran binding protein and others; PF05020: NPL4 family, putative zinc binding region; PF05021: NPL4 family"	WBPhenotype: Emb	NOT WBPheno: Bmd; Ste; Variant
WBGene00019203|H14N18.3|ttr-47	0.35	0.81	0	15.71	0.05		155 aa	SignalP; Seg				LSE0506 (Uncharacterized protein with conserved cysteine)		PF01060: Transthyretin-like family	WBPhenotype: Unc	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00016505|C37C3.13|ttr-33	0	0.87	0.65	16.91	0.05		143 aa	SignalP; Seg						PF01060: Transthyretin-like family		
WBGene00020426|T10H10.2	0.12	0	80.69	2.35	0.05		574 aa	SignalP; Seg				KOG1731 (FAD-dependent sulfhydryl oxidase/quiescin and related proteins)	COG0526: Thiol-disulfide isomerase and thioredoxins; KOG1731: FAD-dependent sulfhydryl oxidase/quiescin and related proteins; meNOG07414: Sulfhydryl protein	PF00085: Thioredoxin; PF04777: Erv1 / Alr family		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00004064|H12C20.2|pms-2	0	0.14	0	2.75	0.05		77-805 aa	Seg		OMIM_2010	StrictHumOrth	KOG1978 (DNA mismatch repair protein - MLH2/PMS1/Pms2 family)	COG0323: DNA mismatch repair enzyme (predicted ATPase); KOG1978: DNA mismatch repair protein - MLH2/PMS1/Pms2 family; meNOG04896: Postmeiotic segregation increased 2-like	"PF01119: DNA mismatch repair protein, C-terminal domain; PF02518: Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase; PF08676: MutL C terminal dimerisation domain"	WBPhenotype: Emb; spontaneous mutation rate increased	NOT WBPheno: Bmd; Gro; Let; Lva; Lvl; Ste; Stp; Variant; meiosis variant; postembryonic development variant
WBGene00016376|C33H5.9|sec-10	0.12	0.14	1.71	2.75	0.05		659 aa	Ncoils			StrictHumOrth	KOG3745 (Exocyst subunit - Sec10p)	KOG3745: Exocyst subunit - Sec10p; meNOG04259: Exocyst complex protein	PF07393: Exocyst complex component Sec10	WBPhenotype: Dpy; Egl; Emb; Gro; Let; Lva; Pvl; Rup; Sck; Ste; Stp; Unc; reduced brood size; small; transgene subcellular localization variant	NOT WBPheno: Bmd; Q neuroblast lineage migration variant; Variant; postembryonic development variant
WBGene00021747|Y50D4C.2	0	0.14	0.16	2.76	0.05		554 aa	Seg				"KOG0022 (Alcohol dehydrogenase, class III); KOG2739 (Leucine-rich acidic nuclear protein)"	"COG1062: Zn-dependent alcohol dehydrogenases, class III; KOG0022: Alcohol dehydrogenase, class III; KOG2739: Leucine-rich acidic nuclear protein; meNOG07159: Alcohol dehydrogenase"	PF00107: Zinc-binding dehydrogenase; PF08240: Alcohol dehydrogenase GroES-like domain		
WBGene00018125|F36H12.11|rmd-4	0	0.32	0	6.33	0.05		215 aa					TWOG0214 (Uncharacterized conserved protein)	"NOG70879: Annotation not available; euNOG08342: Family with sequence similarity 82, member A protein; meNOG17532: Family with sequence similarity 82, member A protein"			NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00017606|F19F10.10	0.6	0	0	11.88	0.05		891 aa	Seg; Ncoils				KOG1121 (Tam3-transposase (Ac family))	KOG1121: Tam3-transposase (Ac family)		WBPhenotype: Gro	NOT WBPheno: Bmd; Emb; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00008590|F08H9.2	0	0.42	0	8.34	0.05		130 aa	Seg								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00017991|F32E10.3|clec-180	0	0.14	0.31	2.79	0.05		876 aa	SignalP; Seg; Ncoils				KOG1215 (Low-density lipoprotein receptors containing Ca2+-binding EGF-like domains)	KOG1215: Low-density lipoprotein receptors containing Ca2+-binding EGF-like domains	PF00059: Lectin C-type domain		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010567|K04G2.9	1.16	0.67	0	23.25	0.05		208 aa	Tmhmm; Seg				KOG4788 (Members of chemokine-like factor super family and related proteins)	KOG4788: Members of chemokine-like factor super family and related proteins	PF01284: Membrane-associating domain		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010563|K04G2.4	0	0.74	3.02	14.85	0.05		254 aa	Seg							WBPhenotype: Emb; reduced brood size	NOT WBPheno: Bmd; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00007029|VC5.4|mys-1	0.12	0.56	0	11.28	0.05		458 aa				StrictHumOrth	KOG2747 (Histone acetyltransferase (MYST family))	COG5027: Histone acetyltransferase (MYST family); KOG2747: Histone acetyltransferase (MYST family); meNOG05334: Histone acetyltransferase HTATIP (EC 2.3.1.48)	PF01853: MOZ/SAS family; PF11717: RNA binding activity-knot of a chromodomain	WBPhenotype: Bmd; Emb; Gro; Let; Lvl; Rup; Ste; Stp; ectopic expression transgene; no pharynx; pattern of transgene expression variant; pharynx unattached; protein subcellular localization variant; receptor mediated endocytosis defective; reduced brood size	NOT WBPheno: Egl; Variant; organism UV hypersensitive
WBGene00012445|Y16B4A.2	0	0.14	0	2.82	0.05		2167 aa	SignalP; Seg					COG2939: Carboxypeptidase C (cathepsin A); KOG1282: Serine carboxypeptidases (lysosomal cathepsin A); meNOG06562: Carboxypeptidase	PF00450: Serine carboxypeptidase		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00019357|K03B4.7|cpg-8	0.12	0.14	0	2.82	0.05		99-115 aa	SignalP; Seg								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00007534|C12D8.1	0.12	0.42	3.88	8.46	0.05		548-611 aa	Seg				KOG1676 (K-homology type RNA binding proteins)	KOG1676: K-homology type RNA binding proteins; meNOG10643: Far upstream element protein	PF00013: KH domain; PF09005: Domain of unknown function (DUF1897)	WBPhenotype: RNAi resistant; somatic transgene silencing variant; transgene expression increased	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00008922|F17C11.11	1.16	2	70.48	40.32	0.05		244-282 aa	Seg				LSE0950 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00009215|F28D1.5|thn-2	0.46	0.26	0	9.28	0.05		233 aa	SignalP; Seg				"TWOG0215 (Pathogenesis related proteins, group 5, and related proteins)"	NOG70012: Thaumatin-Like protein; euNOG11186: Thaumatin-Like protein		WBPhenotype: Bus; Dar	NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00011087|R07B7.2	0.36	0	0	7.27	0.05		636 aa	Seg								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00016182|C28C12.12	0.28	0.81	0	16.36	0.05		349 aa	Seg								NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00017427|F13D11.1|acp-5	0.25	0.14	0.32	5.05	0.05		416 aa	SignalP; Tmhmm; Seg; Ncoils				KOG3720 (Lysosomal & prostatic acid phosphatases)	KOG3720: Lysosomal & prostatic acid phosphatases; meNOG07718: Acid phosphatase	PF00328: Histidine acid phosphatase	WBPhenotype: fat content reduced	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00000680|Y77E11A.15|col-106	219.35	111.86	0	4434.57	0.05		296 aa	SignalP; Seg					"KOG3544: Collagens (type IV and type XIII), and related proteins"	PF01391: Collagen triple helix repeat (20 copies); PF01484: Nematode cuticle collagen N-terminal domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00013633|Y105C5A.8	1.45	0	0	29.33	0.05		242 aa	SignalP; Seg								
WBGene00001869|R12B2.4|him-10	0.96	0	3.27	19.48	0.05		490 aa	Seg; Ncoils							WBPhenotype: Cyk; Emb; Gro; Him; Lva; Mul; Stp; Unc; chromosome segregation variant; germ cell mitosis variant; kinetochore organization variant; pattern of transgene expression variant; receptor mediated endocytosis defective	NOT WBPheno: Bmd; Let; Ste; Variant; organism UV response variant; organism X ray response variant; postembryonic development variant
WBGene00015200|B0454.9	0.17	0	1.69	3.47	0.05		348 aa	Seg				LSE0527 (Uncharacterized protein)				NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00012712|Y39E4A.2|ttm-1	0	0.42	0	8.6	0.05		391-410 aa	Tmhmm; Seg				KOG1482 (Zn2+ transporter)	COG1230: Co/Zn/Cd efflux system component; KOG1482: Zn2+ transporter; meNOG26473: Annotation not available	PF01545: Cation efflux family	WBPhenotype: Gro; cadmium hypersensitive	NOT WBPheno: Bmd; Emb; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00002173|F33D4.2|itr-1	0	0.56	0	11.51	0.05		1713-2892 aa	Tmhmm; Seg; Ncoils		OMIM_2010		"KOG3533 (Inositol 1,4,5-trisphosphate receptor)"	"KOG3533: Inositol 1,4,5-trisphosphate receptor; meNOG04662: Inositol (1,4,5) protein"	"PF00520: Ion transport protein; PF01365: RIH domain; PF02815: MIR domain; PF08454: RyR and IP3R Homology associated; PF08709: Inositol 1,4,5-trisphosphate/ryanodine receptor"	WBPhenotype: Con; Emo; Gro; Let; Ste; defecation cycle temperature compensation variant; defecation cycle variable length; defecation variant; fertility variant; gonad sheath contraction rate reduced; growth variant; late larval arrest; levamisole resistant; long defecation cycle; male turning defective; ovulation variant; pBoc; pattern of transgene expression variant; periodic spicule prodding defective; pharyngeal pumping rate variant; pharyngeal pumping reduced; receptor mediated endocytosis defective; sperm transfer defective; thin; transgene expression increased; transgene subcellular localization variant	NOT WBPheno: Bmd; Emb; Variant; isothermal tracking behavior variant
WBGene00007565|C14A6.1|clec-48	0	2.82	0.24	58.02	0.05		321 aa	SignalP; Seg				KOG4297 (C-type lectin)	KOG4297: C-type lectin; meNOG09487: Mannose receptor	PF00059: Lectin C-type domain		NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00014116|ZK858.2	0	0.54	0	11.15	0.05		255 aa	Seg; Ncoils								NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00012011|T25B9.5	0	0.14	0	2.9	0.05		541 aa	Seg				KOG0194 (Protein tyrosine kinase)	COG0515: Serine/threonine protein kinase; KOG0194: Protein tyrosine kinase; meNOG06948: Tyrosine-Protein kinase	PF00017: SH2 domain; PF00069: Protein kinase domain; PF07714: Protein tyrosine kinase	WBPhenotype: Let; Ste	
WBGene00010657|K08D8.3	0	0.28	0	5.84	0.05		479 aa	SignalP				LSE0511 (Uncharacterized protein)		PF02408: CUB-like domain		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00015357|C02F12.8	0	0.14	0	2.92	0.05		687 aa	Seg; Ncoils								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00044674|B0280.17	0	0.25	0	5.22	0.05		260 aa	Seg					"COG5176: Splicing factor (branch point binding protein); KOG0789: Protein tyrosine phosphatase; KOG1588: RNA-binding protein Sam68 and related KH domain proteins; meNOG05274: Rna-Binding protein that plays a central role in myelinization. Binds to the 5'-NACUAAY-N(1,20)-UAAY-3' RNA core sequence. Acts by regulating pre-mRNA splicing, mRNA export, mRNA stability and protein translation. Required to protect and promote stability of mRNAs"	PF00013: KH domain		
WBGene00002147|C41C4.4|ire-1	0.36	0.56	0.16	11.75	0.05		967 aa	SignalP; Tmhmm; Seg				"KOG1027 (Serine/threonine protein kinase and endoribonuclease ERN1/IRE1, sensor of the unfolded protein response pathway)"	"COG0515: Serine/threonine protein kinase; COG1520: FOG: WD40-like repeat; KOG1027: Serine/threonine protein kinase and endoribonuclease ERN1/IRE1, sensor of the unfolded protein response pathway; meNOG04298: Serine threonine-protein kinase"	PF00069: Protein kinase domain; PF01011: PQQ enzyme repeat; PF06479: Ribonuclease 2-5A; PF07714: Protein tyrosine kinase	WBPhenotype: Din; Let; Ste; energy expenditure variant; level of transgene expression variant; lipid hydrolysis regulation variant; organism starvation hypersensitive; thrashing reduced; transgene expression reduced; tunicamycin hypersensitive; tunicamycin response variant; unfolded protein response variant	NOT WBPheno: Bmd; Emb; Gro; L2 arrest; Lva; Lvl; Stp; Variant; developmental delay; intestinal development variant; pharyngeal pumping rate variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00021920|Y55F3AM.1	2.19	1.97	0.94	46.02	0.05		170 aa				StrictHumOrth	KOG4079 (Putative mitochondrial ribosomal protein mRpS25)	KOG4079: Putative mitochondrial ribosomal protein mRpS25; meNOG12665: Ribosomal protein S25	PF05047: Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain	WBPhenotype: Emb	NOT WBPheno: Bmd; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00007156|B0379.2	0	0.93	1.72	19.57	0.05		226 aa	SignalP; Tmhmm; Seg; Ncoils				LSE0937 (Unnamed protein)				NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00020553|T19A5.1	0	0.84	0	17.72	0.05		1280 aa	SignalP; Seg; Ncoils			StrictHumOrth	"KOG4507 (Uncharacterized conserved protein, contains TPR repeats)"	"KOG4507: Uncharacterized conserved protein, contains TPR repeats; meNOG09963: Tetratricopeptide repeat protein 17"		WBPhenotype: Gro; Slu	NOT WBPheno: Bmd; Emb; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00011275|R53.6	0.28	18.24	0	386.72	0.05		201 aa				StrictHumOrth	"KOG3303 (Predicted alpha-helical protein, potentially involved in replication/repair)"	"COG5230: Uncharacterized conserved protein; KOG3303: Predicted alpha-helical protein, potentially involved in replication/repair; meNOG12151: DNA replication complex GINS protein"	PF05916: GINS complex subunit Sld5		NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00008385|D1081.7	23.1	0	5.44	490.72	0.05		855-857 aa								WBPhenotype: Ste; nicotine hypersensitive	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Stp; Variant; meiosis variant; postembryonic development variant
WBGene00017548|F18A1.7	19.63	0	0	422.21	0.05		266 aa	SignalP; Seg				LSE1057 (Unnamed protein)			WBPhenotype: Emb	NOT WBPheno: Bmd; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00017688|F22A3.2|ttr-35	0.33	0	0	7.11	0.05		145 aa	SignalP; Seg						PF01060: Transthyretin-like family		
WBGene00007971|C36B1.3|rpb-3	0.43	3.94	2.75	85.11	0.05		282 aa	Ncoils			StrictHumOrth		"COG0202: DNA-directed RNA polymerase, alpha subunit/40 kD subunit; KOG1522: RNA polymerase II, subunit POLR2C/RPB3; meNOG04280: DNA directed protein"	PF01000: RNA polymerase Rpb3/RpoA insert domain; PF01193: RNA polymerase Rpb3/Rpb11 dimerisation domain	WBPhenotype: Emb	NOT WBPheno: Bmd; Ste; Variant
WBGene00014169|ZK945.7	0	2.01	0.28	43.42	0.05		249 aa									NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00007108|B0035.5|gspd-1	1.09	0.98	1.86	23.62	0.05		522 aa	Seg		OMIM_2010		KOG0563 (Glucose-6-phosphate 1-dehydrogenase)	COG0364: Glucose-6-phosphate 1-dehydrogenase; KOG0563: Glucose-6-phosphate 1-dehydrogenase; meNOG04006: Glucose-6-Phosphate protein	"PF00479: Glucose-6-phosphate dehydrogenase, NAD binding domain; PF02781: Glucose-6-phosphate dehydrogenase, C-terminal domain"	WBPhenotype: Clr; Emb; Gro; Let; Ste; pale	NOT WBPheno: Bmd; Variant
WBGene00000143|K06H7.6|apc-2	0	0.28	2.18	6.07	0.05		731 aa	Seg			StrictHumOrth		"KOG2165: Anaphase-promoting complex (APC), subunit 2; meNOG05939: Anaphase-Promoting complex"	PF00888: Cullin family	WBPhenotype: Emb; Mei; Pvl; Ste; Stp; distal tip cell migration variant; pattern of transgene expression variant; receptor mediated endocytosis defective	NOT WBPheno: Bmd; Let; Variant
WBGene00022618|ZC477.3	0	0.56	0.16	12.17	0.05		212-330 aa	Tmhmm; Seg; Ncoils			StrictHumOrth	TWOG0081 (Unnamed protein)	NOG83482: Coiled-Coil domain containing protein; euNOG05514: Coiled-Coil domain containing protein; meNOG10669: Coiled-Coil domain containing protein			NOT WBPheno: Bmd; Emb; Let; Ste; Variant
WBGene00000752|C34F6.3|col-179	1.39	0	0	30.27	0.05		283 aa	SignalP; Tmhmm; Seg				"KOG3544 (Collagens (type IV and type XIII), and related proteins)"	"KOG3544: Collagens (type IV and type XIII), and related proteins"	PF01391: Collagen triple helix repeat (20 copies); PF01484: Nematode cuticle collagen N-terminal domain		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00014227|ZK1128.1	0	0.3	0.84	6.54	0.05		426 aa				StrictHumOrth		COG1565: Uncharacterized conserved protein; KOG2901: Uncharacterized conserved protein; meNOG06572: Annotation not available	"PF02636: Uncharacterized ACR, COG1565"		NOT WBPheno: Bmd; Emb; Ste; Variant; embryonic development variant; postembryonic development variant
WBGene00018847|F55A3.1|marc-6	0.12	0	0	2.62	0.05		1025 aa	Tmhmm; Seg; Ncoils			StrictHumOrth	KOG1609 (Protein involved in mRNA turnover and stability)	COG5183: Protein involved in mRNA turnover and stability; KOG1609: Protein involved in mRNA turnover and stability; meNOG04832: E3 ubiquitin-protein ligase MARCH6	"PF00097: Zinc finger, C3HC4 type (RING finger)"		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00015146|B0336.6|abi-1	3.14	1.11	13.84	68.61	0.05		469 aa	Seg			StrictHumOrth	"KOG2546 (Abl interactor ABI-1, contains SH3 domain)"	"KOG2546: Abl interactor ABI-1, contains SH3 domain; meNOG06930: Abl interactor protein"	PF00018: SH3 domain; PF07815: Abl-interactor HHR	WBPhenotype: Adl; Bmd; Egl; Emb; Gro; Let; Lva; Lvl; Pvl; Rup; Sck; Ste; Stp; Unc; distal tip cell migration variant; embryonic development variant; engulfment variant; intestinal development variant; pattern of transgene expression variant; pharynx disorganized; protein expression reduced; receptor mediated endocytosis defective; reduced brood size; uptake of yolk defective; ventral enclosure variant	NOT WBPheno: Cod; Dyf; Variant; male mating efficiency reduced; postembryonic development variant; transgene subcellular localization variant
WBGene00016898|C53C9.2	0	1.82	0.16	39.78	0.05		397 aa	Seg; Ncoils				LSE0788 (Unnamed protein)		PF00402: Calponin family repeat	WBPhenotype: Gro	NOT WBPheno: Bmd; Emb; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00013128|Y52B11A.9	0.15	0.69	0	15.1	0.05		404 aa	Seg; Ncoils	Thomas+W_TF		StrictHumOrth	KOG2837 (Protein containing a U1-type Zn-finger and implicated in RNA splicing or processing)	"KOG2837: Protein containing a U1-type Zn-finger and implicated in RNA splicing or processing; meNOG05594: Involved in DNA replication and the cellular response to DNA damage. May participate in DNA replication factories and create a bridge between DNA replication and repair mediated by high molecular weight complexes. May play a role in illegitimate recombination and regulation of gene expression. May participate in mRNA processing. Binds, in vitro, to double-stranded DNA. Also shown to bind preferentially to curved DNA in vitro and in"	PF10357: Domain of Kin17 curved DNA-binding protein	WBPhenotype: Bmd; Emb; Gro; Lva; Rup; Ste; Stp; Unc; reduced brood size	NOT WBPheno: Variant
WBGene00016440|C35D10.2	0	2.32	0	51	0.05		357 aa	Seg				"KOG3938 (RGS-GAIP interacting protein GIPC, contains PDZ domain)"	"KOG3938: RGS-GAIP interacting protein GIPC, contains PDZ domain; meNOG07114: PDZ domain containing protein"			NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00001574|W10D5.3|gei-17	4.96	2.1	23.79	109.25	0.05		676-793 aa	Seg	Thomas+W_TF		StrictHumOrth		KOG2169: Zn-finger transcription factor; meNOG06967: E3 SUMO-protein ligase	PF02891: MIZ/SP-RING zinc finger	WBPhenotype: Bmd; Dpy; Emb; Gro; Let; Pvl; Ste; protein aggregation variant; small	NOT WBPheno: Variant
WBGene00018999|F57B9.8	0	0.14	0	3.09	0.05		444 aa	Seg				KOG0194 (Protein tyrosine kinase)	COG0515: Serine/threonine protein kinase; KOG0194: Protein tyrosine kinase; meNOG06948: Tyrosine-Protein kinase	PF00017: SH2 domain; PF00069: Protein kinase domain; PF07714: Protein tyrosine kinase		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00007093|B0001.8	0.12	0.14	0	3.09	0.05		490 aa	Seg				LSE0933 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Let; Ste; Variant
WBGene00013874|ZC376.2	0.12	0	0	2.65	0.05		670 aa	SignalP; Tmhmm; Seg; Ncoils				KOG1516 (Carboxylesterase and related proteins)	COG2272: Carboxylesterase type B; KOG1516: Carboxylesterase and related proteins; meNOG11887: Carboxylesterase	PF07859: alpha/beta hydrolase fold		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00011720|T11G6.5	0.49	0	0	10.85	0.05		1349-1406 aa	Seg				LSE4171 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Let; Ste; Variant
WBGene00009112|F25D7.2|tag-353	0	0.7	0.93	15.56	0.04		361 aa	Tmhmm; Seg					KOG4583: Membrane-associated ER protein involved in stress response (contains ubiquitin-like domain); meNOG08806: Homocysteine-Responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein		WBPhenotype: transgene expression reduced	NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010440|JC8.8|ttr-51	0	0.45	2.02	10.04	0.04		138 aa	SignalP; Seg				LSE0506 (Uncharacterized protein with conserved cysteine)		PF01060: Transthyretin-like family		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00009507|F37D6.1|mus-101	0.12	0	0	2.68	0.04		1182 aa	Seg			StrictHumOrth		"KOG1929: Nucleotide excision repair factor NEF2, RAD4/CUT5 component; meNOG10715: Required for DNA replication. Plays a role in the rescue of stalled replication forks and checkpoint control. Binds double- stranded DNA breaks and nicks as well as single-stranded DNA. Recruits the SWI/SNF chromatin remodeling complex to E2F1- responsive promoters. Down-regulates E2F1 activity and inhibits E2F1-dependent apoptosis during G1/S transition and after DNA damage. Induces a large increase in the kinase activity of"	PF00533: BRCA1 C Terminus (BRCT) domain	WBPhenotype: Emb; Let; Rup; Ste; Stp; Unc	NOT WBPheno: Adl; Bmd; Gro; Lva; Lvl; Variant; postembryonic development variant
WBGene00021561|Y45G5AM.9	0	0.28	0.31	6.27	0.04		370-499 aa	Seg				KOG1388 (Attractin and platelet-activating factor acetylhydrolase)	KOG1388: Attractin and platelet-activating factor acetylhydrolase; meNOG29305: Annotation not available			NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00002052|K05B2.3|ifa-4	0.85	0	0	19.21	0.04		558 aa	Ncoils		OMIM_2010		"KOG0977 (Nuclear envelope protein lamin, intermediate filament superfamily)"	"KOG0977: Nuclear envelope protein lamin, intermediate filament superfamily; meNOG06062: Of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear protein"	PF00038: Intermediate filament protein; PF00932: Intermediate filament tail domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
